"gid","건축면적","건축물높이","건축물수","건축물연면적","건폐율","고등학생인구수","고령인구수","공동건축물수","생산가능인구수","용적율","유소년인구수","유아인구수","중학생인구수","초등학생인구수","총인구수","연령20대수","연령30대수","연령40대수","연령50대수","연령60대수","연령70대수","연령80대수","연령90대수","연령100대이상수","공시지가","노후건물수20년","노후건물수30년","응급의료시설접근성","보건기관접근성","주차장접근성","토지이용복합도","토지이용압축도","화재발생수","화재재산피해합계","화재재산피해평균","화재인명피해합계","화재인명피해평균","화재진압시간합계","화재진압시간평균","구조발생수","구조대상자수합계","구조대상자수평균","구조사망합계","구조사망평균","구조안전구조합계","구조안전구조평균","구조경상합계","구조경상평균","구조중상합계","구조중상평균","구조행방불명합계구조","구조행방불명평균"
"라라59a87b",265.47,12.11,93,906.44,43.32,21,87,5,830,88.28,218,77,46,120,1135,127,263,221,120,89,35,14,0,0,603294.98,15,13,3.432,1.268,0.608,10,33.69,5,17442,3488.4,0,0,1852,370.4,158,22,0.139240506329114,0,0,19,0.120253164556962,1,0.00632911392405063,0,0,0,0
"라라41a85a",113.19,6.03,3,127,36.55,0,0,0,0,43.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28297.22,3,1,19.171,4.981,5.204,3,0.15,2,4540,2270,0,0,827,413.5,1,1,1,0,0,1,1,0,0,0,0,0,0
"라라60a99b",112.07,4.87,60,117.04,24.58,0,31,0,31,26.6,0,0,0,0,64,0,0,7,9,15,12,8,0,0,16936.5,39,31,17.5,4.466,5.328,6,2.76,6,512407,85401.1666666667,0,0,63354,10559,13,1,0.0769230769230769,0,0,1,0.0769230769230769,0,0,0,0,0,0
"라라57b94a",453.35,8.92,10,559.04,16.62,0,0,0,0,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54438.55,4,4,9.627,4.24,5.473,4,2.24,1,4358,4358,0,0,1853,1853,18,4,0.222222222222222,2,0.111111111111111,0,0,2,0.111111111111111,0,0,0,0
"라라51b84b",144.91,7.73,17,213.94,29.69,0,12,0,11,41.21,0,0,0,0,23,0,0,0,0,9,0,0,0,0,67921.15,5,5,3.879,4.585,1.97,3,1.45,1,1980,1980,0,0,70,70,73,20,0.273972602739726,1,0.0136986301369863,6,0.0821917808219178,10,0.136986301369863,3,0.0410958904109589,0,0
"라라49b86b",133.97,8.14,14,236.62,22.07,0,0,0,12,35.65,0,0,0,0,17,0,0,0,0,0,0,0,0,0,35676.51,6,0,16.305,15.317,19.055,5,1.33,2,72883,36441.5,0,0,17328,8664,33,4,0.121212121212121,0,0,4,0.121212121212121,0,0,0,0,0,0
"라라47b93a",124.6,5.92,19,144.83,17.89,0,9,0,13,19.93,0,0,0,0,23,0,0,0,0,9,0,0,0,0,10402.9,6,4,7.757,7.817,4.1,3,1.1,1,18900,18900,0,0,8308,8308,7,0,0,0,0,0,0,0,0,0,0,0,0
"라라50a89b",145.82,6.4,21,172.47,17.72,0,0,0,9,21.57,0,0,0,0,13,0,0,0,0,0,0,0,0,0,70571.81,0,0,2.982,3.041,1.239,5,1.45,2,0,0,0,0,534,267,18,1,0.0555555555555556,0,0,0,0,1,0.0555555555555556,0,0,0,0
"라라46b92b",92.16,6.75,8,100.02,23.83,0,13,0,0,28.38,0,0,0,0,17,0,0,0,0,0,0,0,0,0,14228.39,5,4,7.971,7.081,4.124,2,0.26,2,5008,2504,0,0,1485,742.5,13,4,0.307692307692308,0,0,2,0.153846153846154,2,0.153846153846154,0,0,0,0
"라라52a97a",79.68,4.51,17,79.43,19.02,0,9,0,14,20.44,0,0,0,0,23,0,0,0,0,7,0,0,0,0,9093.3,6,4,12.07,0.911,8.486,3,0.51,2,4327,2163.5,0,0,1426,713,6,0,0,0,0,0,0,0,0,0,0,0,0
"라라52a94a",109.19,5.68,40,119.82,26.83,0,20,0,22,28.69,0,0,0,0,46,0,0,6,0,11,10,6,0,0,29042.61,22,12,11.486,5.723,5.914,6,2.02,2,16067,8033.5,0,0,3268,1634,15,1,0.0666666666666667,0,0,1,0.0666666666666667,0,0,0,0,0,0
"라라55a85b",271.13,17.85,96,1661.36,51.18,113,380,24,1736,131.76,285,82,114,166,2401,351,193,391,428,322,159,62,20,0,833449.99,27,14,2.144,4.466,2.414,9,63.81,1,173,173,0,0,0,0,279,47,0.168458781362007,7,0.025089605734767,23,0.0824372759856631,10,0.03584229390681,3,0.010752688172043,0,0
"라라71b95a",85.43,2.9,2,85.43,7.61,0,0,0,0,7.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3078.84,0,0,10.903,3.134,3.478,2,0.07,1,264,264,0,0,1380,1380,1,0,0,0,0,0,0,0,0,0,0,0,0
